Lexema: a , Tipo de token: identificador , Tipo de dato: no definido , cantidad de de veces que es referenciado: 1 , Uso: no definido , Tamanio: 1
Lexema: b , Tipo de token: identificador , Tipo de dato: ulong , cantidad de de veces que es referenciado: 2 , Uso: Variable , Tamanio: 1
Lexema: c , Tipo de token: identificador , Tipo de dato: int , cantidad de de veces que es referenciado: 2 , Uso: Nombre de coleccion , Tamanio: 2
Lexema: -1 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 1 , Uso: no definido , Tamanio: 1
Lexema: d , Tipo de token: identificador , Tipo de dato: ulong , cantidad de de veces que es referenciado: 3 , Uso: Variable , Tamanio: 1
Lexema: e , Tipo de token: identificador , Tipo de dato: no definido , cantidad de de veces que es referenciado: 1 , Uso: no definido , Tamanio: 1
Lexema: f , Tipo de token: identificador , Tipo de dato: ulong , cantidad de de veces que es referenciado: 1 , Uso: Nombre de coleccion , Tamanio: 3 , Valores Iniciales: -1, 3, 8 
Lexema: g , Tipo de token: identificador , Tipo de dato: int , cantidad de de veces que es referenciado: 3 , Uso: Nombre de coleccion , Tamanio: 3
Lexema: 40000 , Tipo de token: constante , Tipo de dato: ulong , cantidad de de veces que es referenciado: 3 , Uso: Constante , Tamanio: 1
Lexema: h , Tipo de token: identificador , Tipo de dato: int , cantidad de de veces que es referenciado: 1 , Uso: Nombre de coleccion , Tamanio: 3 , Valores Iniciales: 40000, 35222, 50987 
Lexema: i , Tipo de token: identificador , Tipo de dato: int , cantidad de de veces que es referenciado: 6 , Uso: Variable , Tamanio: 1
Lexema: -12 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
Lexema: 0 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
Lexema: 100 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
Lexema: 2 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 4 , Uso: Constante , Tamanio: 1
Lexema: 3 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 4 , Uso: Constante , Tamanio: 1
Lexema: 4 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 2 , Uso: Constante , Tamanio: 1
Lexema: 33000 , Tipo de token: constante , Tipo de dato: ulong , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
Lexema: 35222 , Tipo de token: constante , Tipo de dato: ulong , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
Lexema: 8 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
Lexema: 50 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
Lexema: 50987 , Tipo de token: constante , Tipo de dato: ulong , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
Lexema: 30 , Tipo de token: constante , Tipo de dato: int , cantidad de de veces que es referenciado: 1 , Uso: Constante , Tamanio: 1
